FEW SHOT FINE TUNING

training dataset size: 236
mean: tensor([0.7739, 0.7576, 0.7179])
std: tensor([0.2972, 0.2968, 0.3353])

lr=0.0001 e=34: train acc 0.6825396418571472 | val acc 0.46808508038520813
lr=0.0001 e=35: train acc 0.6878306865692139 | val acc 0.4893616735935211
lr=0.0001 e=36: train acc 0.7089946866035461 | val acc 0.5106382966041565
lr=0.0001 e=37: train acc 0.7089946866035461 | val acc 0.4893616735935211
lr=0.0001 e=38: train acc 0.7248677015304565 | val acc 0.4893616735935211
lr=0.0001 e=39: train acc 0.7195767164230347 | val acc 0.5106382966041565
lr=0.0001 e=40: train acc 0.7301586866378784 | val acc 0.5106382966041565
lr=0.0001 e=41: train acc 0.7460317015647888 | val acc 0.5106382966041565
lr=0.0001 e=42: train acc 0.7619047164916992 | val acc 0.5319148898124695
lr=0.0001 e=43: train acc 0.7513227462768555 | val acc 0.5531914830207825
lr=0.0001 e=44: train acc 0.7460317015647888 | val acc 0.5744680762290955
lr=0.0001 e=45: train acc 0.7566137313842773 | val acc 0.5531914830207825
lr=0.0001 e=46: train acc 0.7671957612037659 | val acc 0.5531914830207825
lr=0.0001 e=47: train acc 0.7619047164916992 | val acc 0.5531914830207825
lr=0.0001 e=48: train acc 0.7830687761306763 | val acc 0.5531914830207825
lr=0.0001 e=49: train acc 0.7883597612380981 | val acc 0.5531914830207825
lr=0.0001 e=50: train acc 0.7883597612380981 | val acc 0.5531914830207825

best validation accuracy: 0.8085106015205383
best learning rate: 0.003
best stopping epoch: 8

test accuracy: 0.688804566860199
test loss: 1913.0541256666183
